Date,goldAM,goldPM,silver,platinumAM,platinumPM,palladiumAM,palladiumPM,Platinum,Palladium,Rhodium,Iridium,Ruthenium
1994-11-01,,,,,,,,416.5,160.25,700.0,70.0,22.0
1994-11-02,,,,,,,,418.0,160.5,700.0,70.0,22.0
1994-11-03,,,,,,,,418.5,162.25,700.0,70.0,22.0
1994-11-04,,,,,,,,416.75,161.5,700.0,70.0,22.0
1994-11-07,,,,,,,,415.5,160.0,700.0,70.0,22.5
1994-11-08,,,,,,,,410.25,158.0,700.0,70.0,24.75
1994-11-09,,,,,,,,410.25,158.5,700.0,70.0,27.0
1994-11-10,,,,,,,,408.5,157.25,700.0,70.0,27.0
1994-11-11,,,,,,,,411.25,157.25,700.0,70.0,27.0
1994-11-14,,,,,,,,412.0,157.25,700.0,70.0,27.0
1994-11-15,,,,,,,,415.5,157.5,700.0,70.0,27.0
1994-11-16,,,,,,,,415.0,158.0,700.0,70.0,27.0
1994-11-17,,,,,,,,415.5,157.25,697.5,70.0,27.0
1994-11-18,,,,,,,,415.0,157.25,690.0,70.0,27.0
1994-11-21,,,,,,,,412.5,155.25,687.5,70.0,27.0
1994-11-22,,,,,,,,411.0,155.25,680.0,70.0,27.0
1994-11-23,,,,,,,,411.5,156.0,677.5,70.0,27.0
1994-11-24,,,,,,,,412.0,155.0,670.0,70.0,27.0
1994-11-25,,,,,,,,411.5,155.0,670.0,70.0,27.0
1994-11-28,,,,,,,,410.75,154.5,670.0,70.0,27.0
1994-11-29,,,,,,,,410.5,154.25,665.0,70.0,27.0
1994-11-30,,,,,,,,410.0,155.5,660.0,70.0,27.0
1994-12-01,,,,,,,,404.5,154.5,657.5,70.0,27.0
1994-12-02,,,,,,,,403.5,155.0,650.0,70.0,27.0
1994-12-05,,,,,,,,401.0,154.5,653.75,70.0,27.0
1994-12-06,,,,,,,,401.25,153.5,665.0,70.0,27.0
1994-12-07,,,,,,,,403.5,154.25,665.0,70.0,27.0
1994-12-08,,,,,,,,404.0,154.25,662.5,70.0,27.0
1994-12-09,,,,,,,,404.75,153.75,655.0,70.0,27.0
1994-12-12,,,,,,,,408.25,154.5,655.0,70.0,27.0
1994-12-13,,,,,,,,410.75,155.25,652.5,70.0,27.0
1994-12-14,,,,,,,,409.75,154.0,645.0,70.0,27.0
1994-12-15,,,,,,,,410.0,153.75,638.75,70.0,27.0
1994-12-16,,,,,,,,412.0,154.0,617.5,70.0,27.0
1994-12-19,,,,,,,,413.0,154.0,610.0,70.0,27.0
1994-12-20,,,,,,,,416.25,154.5,610.0,70.0,27.0
1994-12-21,,,,,,,,417.75,155.0,610.0,70.0,27.0
1994-12-22,,,,,,,,417.0,155.25,610.0,70.0,27.0
1994-12-23,,,,,,,,414.75,155.0,610.0,70.0,27.0
1994-12-27,,,,,,,,416.0,157.0,625.0,70.0,27.0
1994-12-28,,,,,,,,416.25,156.0,625.0,70.0,27.0
1994-12-29,,,,,,,,419.0,157.75,625.0,70.0,27.0
1994-12-30,,,,,,,,417.5,158.0,625.0,70.0,27.0
1995-01-03,,,,,,,,417.75,158.25,625.0,70.0,27.0
1995-01-04,,,,,,,,410.0,157.0,625.0,70.0,27.0
1995-01-05,,,,,,,,403.75,155.25,625.0,70.0,27.0
1995-01-06,,,,,,,,408.25,155.5,625.0,70.0,27.0
1995-01-09,,,,,,,,404.75,154.25,625.0,70.0,27.0
1995-01-10,,,,,,,,408.25,155.5,625.0,70.0,27.0
1995-01-11,,,,,,,,410.25,156.5,625.0,70.0,27.0
1995-01-12,,,,,,,,414.0,157.5,625.0,70.0,27.0
1995-01-13,,,,,,,,418.25,158.25,625.0,70.0,27.0
1995-01-16,,,,,,,,414.5,155.5,625.0,70.0,27.0
1995-01-17,,,,,,,,414.75,156.0,621.25,70.0,27.0
1995-01-18,,,,,,,,419.0,157.0,610.0,70.0,27.0
1995-01-19,,,,,,,,417.75,157.0,610.0,70.0,27.0
1995-01-20,,,,,,,,418.5,157.0,610.0,70.0,27.0
1995-01-23,,,,,,,,419.5,158.25,610.0,70.0,27.0
1995-01-24,,,,,,,,416.25,157.5,610.0,70.0,27.0
1995-01-25,,,,,,,,418.5,158.25,610.0,70.0,27.0
1995-01-26,,,,,,,,418.75,158.5,610.0,70.0,27.0
1995-01-27,,,,,,,,418.0,159.0,610.0,70.0,27.0
1995-01-30,,,,,,,,415.75,158.25,610.0,70.0,27.0
1995-01-31,,,,,,,,416.5,159.0,610.0,70.0,27.0
1995-02-01,,,,,,,,418.0,159.0,605.0,70.0,27.0
1995-02-02,,,,,,,,415.0,159.0,600.0,70.0,27.0
1995-02-03,,,,,,,,415.25,158.5,600.0,70.0,27.0
1995-02-06,,,,,,,,414.0,158.5,600.0,70.0,27.0
1995-02-07,,,,,,,,413.0,158.0,600.0,70.0,27.0
1995-02-08,,,,,,,,409.75,158.0,597.5,70.0,27.0
1995-02-09,,,,,,,,413.5,158.5,587.5,70.0,27.0
1995-02-10,,,,,,,,414.75,158.5,580.0,70.0,27.0
1995-02-13,,,,,,,,414.25,158.0,580.0,70.0,27.0
1995-02-14,,,,,,,,414.0,158.0,578.75,70.0,27.0
1995-02-15,,,,,,,,414.25,158.25,575.0,70.0,27.0
1995-02-16,,,,,,,,414.5,158.0,572.5,70.0,27.0
1995-02-17,,,,,,,,415.5,158.5,565.0,70.0,27.0
1995-02-20,,,,,,,,417.25,158.5,565.0,70.0,27.0
1995-02-21,,,,,,,,417.25,158.25,562.5,70.0,27.0
1995-02-22,,,,,,,,416.25,159.0,555.0,70.0,27.0
1995-02-23,,,,,,,,418.0,158.25,550.0,70.0,27.0
1995-02-24,,,,,,,,416.75,158.25,545.0,70.0,27.0
1995-02-27,,,,,,,,413.0,157.25,540.0,70.0,27.0
1995-02-28,,,,,,,,411.0,155.75,528.75,70.0,27.0
1995-03-01,,,,,,,,410.5,154.75,507.5,70.0,27.0
1995-03-02,,,,,,,,404.25,152.75,500.0,70.0,27.0
1995-03-03,,,,,,,,404.75,153.5,500.0,70.0,27.0
1995-03-06,,,,,,,,406.5,154.0,500.0,70.0,27.0
1995-03-07,,,,,,,,412.0,155.0,500.0,70.0,27.0
1995-03-08,,,,,,,,419.75,158.0,500.0,70.0,27.0
1995-03-09,,,,,,,,417.5,156.0,500.0,70.0,27.0
1995-03-10,,,,,,,,419.5,156.75,500.0,70.0,27.0
1995-03-13,,,,,,,,420.0,158.75,500.0,70.0,27.0
1995-03-14,,,,,,,,422.5,159.5,500.0,70.0,27.0
1995-03-15,,,,,,,,423.75,160.75,500.0,70.0,27.0
1995-03-16,,,,,,,,422.5,162.75,500.0,70.0,27.0
1995-03-17,,,,,,,,421.25,165.0,500.0,70.0,27.0
1995-03-20,,,,,,,,420.0,167.0,500.0,70.0,27.0
1995-03-21,,,,,,,,420.0,168.0,500.0,70.0,27.0
1995-03-22,,,,,,,,414.0,166.5,500.0,70.0,27.0
1995-03-23,,,,,,,,415.75,169.75,496.25,70.0,27.0
1995-03-24,,,,,,,,416.75,174.5,485.0,70.0,27.0
1995-03-27,,,,,,,,414.75,171.0,485.0,70.0,27.0
1995-03-28,,,,,,,,417.25,170.5,485.0,70.0,27.0
1995-03-29,,,,,,,,421.25,175.25,485.0,70.0,27.0
1995-03-30,,,,,,,,423.75,175.5,485.0,70.0,27.0
1995-03-31,,,,,,,,435.0,174.5,485.0,70.0,27.0
1995-04-03,,,,,,,,440.5,175.5,485.0,70.0,27.0
1995-04-04,,,,,,,,447.5,175.75,485.0,70.0,27.0
1995-04-05,,,,,,,,460.0,178.0,485.0,70.0,27.0
1995-04-06,,,,,,,,455.25,175.0,485.0,70.0,27.0
1995-04-07,,,,,,,,454.0,175.5,481.25,70.0,27.0
1995-04-10,,,,,,,,453.25,174.5,470.0,70.0,27.0
1995-04-11,,,,,,,,449.75,172.5,470.0,70.0,27.0
1995-04-12,,,,,,,,451.25,173.75,470.0,70.0,27.0
1995-04-13,,,,,,,,448.25,172.0,470.0,70.0,27.0
1995-04-17,,,,,,,,456.0,175.0,470.0,70.0,27.0
1995-04-18,,,,,,,,456.75,175.5,470.0,70.0,27.0
1995-04-19,,,,,,,,460.75,175.75,470.0,70.0,27.0
1995-04-20,,,,,,,,456.25,173.25,475.0,70.0,27.0
1995-04-21,,,,,,,,448.25,168.0,482.5,70.0,27.0
1995-04-24,,,,,,,,444.0,167.25,490.0,70.0,27.0
1995-04-25,,,,,,,,441.75,164.5,490.0,70.0,27.0
1995-04-26,,,,,,,,442.0,163.0,495.0,70.0,26.0
1995-04-27,,,,,,,,441.75,160.75,500.0,70.0,25.0
1995-04-28,,,,,,,,448.5,164.25,500.0,70.0,25.0
1995-05-01,,,,,,,,444.5,163.75,500.0,70.0,25.0
1995-05-02,,,,,,,,446.0,163.75,500.0,70.0,25.0
1995-05-03,,,,,,,,453.75,165.0,502.5,70.0,25.0
1995-05-04,,,,,,,,459.75,165.25,525.0,70.0,25.0
1995-05-05,,,,,,,,458.25,164.25,550.0,70.0,25.0
1995-05-08,,,,,,,,451.5,162.25,550.0,70.0,25.0
1995-05-09,,,,,,,,446.25,161.25,553.75,70.0,25.0
1995-05-10,,,,,,,,436.0,160.25,565.0,70.0,25.0
1995-05-11,,,,,,,,435.75,161.25,565.0,70.0,25.0
1995-05-12,,,,,,,,431.75,161.25,565.0,70.0,25.0
1995-05-15,,,,,,,,431.0,162.5,565.0,70.0,25.0
1995-05-16,,,,,,,,432.5,162.75,565.0,70.0,25.0
1995-05-17,,,,,,,,431.75,162.25,565.0,70.0,25.0
1995-05-18,,,,,,,,429.0,160.25,565.0,70.0,25.0
1995-05-19,,,,,,,,431.25,160.0,562.5,70.0,25.0
1995-05-22,,,,,,,,428.5,159.0,555.0,70.0,25.0
1995-05-23,,,,,,,,428.5,159.0,555.0,70.0,25.0
1995-05-24,,,,,,,,432.5,161.25,555.0,70.0,25.0
1995-05-25,,,,,,,,433.75,162.75,555.0,70.0,25.0
1995-05-26,,,,,,,,436.5,162.75,555.0,70.0,25.0
1995-05-29,,,,,,,,439.6667,164.6667,555.0,70.0,25.0
1995-05-30,,,,,,,,439.25,164.5,555.0,70.0,25.0
1995-05-31,,,,,,,,434.25,162.75,555.0,67.5,25.0
1995-06-01,,,,,,,,432.75,160.25,555.0,60.0,25.0
1995-06-02,,,,,,,,433.0,159.5,555.0,60.0,25.0
1995-06-05,,,,,,,,432.0,158.0,555.0,60.0,25.0
1995-06-06,,,,,,,,432.0,158.0,555.0,60.0,25.0
1995-06-07,,,,,,,,433.5,157.5,555.0,60.0,25.0
1995-06-08,,,,,,,,435.75,158.75,555.0,60.0,25.0
1995-06-09,,,,,,,,436.75,158.5,555.0,60.0,25.0
1995-06-12,,,,,,,,439.5,160.0,555.0,60.0,25.0
1995-06-13,,,,,,,,441.0,162.25,555.0,60.0,25.0
1995-06-14,,,,,,,,437.25,161.25,555.0,60.0,25.0
1995-06-15,,,,,,,,440.25,162.25,555.0,60.0,25.0
1995-06-16,,,,,,,,443.5,162.75,555.0,60.0,25.0
1995-06-19,,,,,,,,442.5,162.0,555.0,60.0,25.0
1995-06-20,,,,,,,,443.25,161.5,555.0,60.0,25.0
1995-06-21,,,,,,,,443.5,161.25,550.0,60.0,25.0
1995-06-22,,,,,,,,442.5,159.75,545.0,60.0,25.0
1995-06-23,,,,,,,,441.75,158.75,540.0,60.0,25.0
1995-06-26,,,,,,,,441.5,159.0,535.0,60.0,25.0
1995-06-27,,,,,,,,442.75,159.75,535.0,60.0,25.0
1995-06-28,,,,,,,,442.0,161.0,535.0,60.0,25.0
1995-06-29,,,,,,,,439.5,160.0,535.0,60.0,25.0
1995-06-30,,,,,,,,439.25,160.0,535.0,60.0,25.0
1995-07-03,,,,,,,,435.25,159.0,535.0,60.0,25.0
1995-07-04,,,,,,,,435.0,159.0,535.0,60.0,25.0
1995-07-05,,,,,,,,434.0,158.25,535.0,60.0,25.0
1995-07-06,,,,,,,,433.5,158.5,535.0,60.0,25.0
1995-07-07,,,,,,,,434.5,159.5,535.0,60.0,25.0
1995-07-10,,,,,,,,434.25,158.75,532.5,60.0,25.0
1995-07-11,,,,,,,,433.75,158.75,525.0,60.0,25.0
1995-07-12,,,,,,,,435.25,158.0,525.0,60.0,25.0
1995-07-13,,,,,,,,437.25,157.5,525.0,60.0,25.0
1995-07-14,,,,,,,,436.5,156.5,525.0,60.0,25.0
1995-07-17,,,,,,,,438.25,156.25,522.5,60.0,25.0
1995-07-18,,,,,,,,441.75,156.25,515.0,60.0,25.0
1995-07-19,,,,,,,,441.5,155.5,515.0,60.0,25.0
1995-07-20,,,,,,,,436.0,155.0,515.0,60.0,25.0
1995-07-21,,,,,,,,430.5,153.75,515.0,60.0,25.0
1995-07-24,,,,,,,,429.75,154.25,511.25,60.0,25.0
1995-07-25,,,,,,,,432.5,155.25,500.0,60.0,25.0
1995-07-26,,,,,,,,431.5,154.75,500.0,60.0,25.0
1995-07-27,,,,,,,,431.75,156.5,490.0,60.0,28.0
1995-07-28,,,,,,,,428.75,154.5,487.5,60.0,29.0
1995-07-31,,,,,,,,425.75,154.5,480.0,60.0,29.0
1995-08-01,,,,,,,,420.75,153.25,477.5,60.0,29.0
1995-08-02,,,,,,,,421.75,153.25,470.0,60.0,29.0
1995-08-03,,,,,,,,422.5,152.5,465.0,60.0,29.0
1995-08-04,,,,,,,,423.5,153.5,450.0,60.0,29.0
1995-08-07,,,,,,,,422.25,153.0,450.0,60.0,29.0
1995-08-08,,,,,,,,422.0,153.0,447.5,60.0,29.0
1995-08-09,,,,,,,,423.25,153.5,440.0,60.0,29.0
1995-08-10,,,,,,,,423.0,152.75,440.0,60.0,29.0
1995-08-11,,,,,,,,421.75,151.25,440.0,60.0,29.0
1995-08-14,,,,,,,,416.5,147.75,437.5,60.0,29.0
1995-08-15,,,,,,,,418.75,148.5,430.0,60.0,29.0
1995-08-16,,,,,,,,420.25,149.25,430.0,60.0,29.0
1995-08-17,,,,,,,,425.75,149.75,427.5,60.0,29.0
1995-08-18,,,,,,,,431.0,151.25,420.0,60.0,29.0
1995-08-21,,,,,,,,433.25,151.5,420.0,60.0,29.0
1995-08-22,,,,,,,,431.25,151.75,415.0,60.0,29.0
1995-08-23,,,,,,,,427.25,150.5,410.0,60.0,29.0
1995-08-24,,,,,,,,428.5,150.25,410.0,60.0,29.0
1995-08-25,,,,,,,,431.5,149.75,410.0,60.0,29.0
1995-08-28,,,,,,,,432.5,149.5,410.0,60.0,29.0
1995-08-29,,,,,,,,434.0,149.25,410.0,60.0,29.0
1995-08-30,,,,,,,,429.25,147.25,410.0,60.0,29.0
1995-08-31,,,,,,,,427.75,146.25,410.0,60.0,29.0
1995-09-01,,,,,,,,429.25,146.75,410.0,60.0,29.0
1995-09-04,,,,,,,,429.0,147.0,410.0,60.0,29.0
1995-09-05,,,,,,,,427.25,146.75,407.5,60.0,29.0
1995-09-06,,,,,,,,426.0,145.0,400.0,60.0,29.0
1995-09-07,,,,,,,,428.5,145.75,397.5,60.0,29.0
1995-09-08,,,,,,,,433.25,146.5,390.0,60.0,29.0
1995-09-11,,,,,,,,432.0,146.5,387.5,60.0,29.0
1995-09-12,,,,,,,,434.5,146.75,375.0,60.0,29.0
1995-09-13,,,,,,,,438.5,148.0,370.0,60.0,29.0
1995-09-14,,,,,,,,437.25,147.5,370.0,60.0,29.0
1995-09-15,,,,,,,,441.0,148.0,370.0,60.0,29.0
1995-09-18,,,,,,,,439.25,147.75,370.0,60.0,29.0
1995-09-19,,,,,,,,439.0,147.5,370.0,60.0,29.0
1995-09-20,,,,,,,,438.0,147.5,362.5,60.0,29.0
1995-09-21,,,,,,,,430.0,142.0,350.0,60.0,29.0
1995-09-22,,,,,,,,425.25,138.75,350.0,60.0,29.0
1995-09-25,,,,,,,,421.75,136.25,347.5,60.0,29.0
1995-09-26,,,,,,,,423.5,137.75,340.0,60.0,29.0
1995-09-27,,,,,,,,423.0,139.0,340.0,60.0,29.0
1995-09-28,,,,,,,,421.75,140.0,340.0,60.0,29.0
1995-09-29,,,,,,,,424.25,143.5,337.5,60.0,29.0
1995-10-02,,,,,,,,420.25,143.75,330.0,60.0,29.0
1995-10-03,,,,,,,,413.5,141.0,330.0,60.0,29.0
1995-10-04,,,,,,,,415.5,140.0,330.0,60.0,29.0
1995-10-05,,,,,,,,415.5,137.0,330.0,60.0,29.0
1995-10-06,,,,,,,,413.75,136.25,337.5,60.0,29.0
1995-10-09,,,,,,,,415.25,138.5,345.0,60.0,29.0
1995-10-10,,,,,,,,418.0,139.25,352.5,60.0,29.0
1995-10-11,,,,,,,,416.25,139.5,363.75,60.0,29.0
1995-10-12,,,,,,,,415.0,139.0,375.0,60.0,29.0
1995-10-13,,,,,,,,414.0,138.5,375.0,60.0,29.0
1995-10-16,,,,,,,,413.0,139.0,375.0,60.0,29.0
1995-10-17,,,,,,,,413.0,139.25,385.0,60.0,29.0
1995-10-18,,,,,,,,414.0,138.5,395.0,60.0,29.0
1995-10-19,,,,,,,,412.75,137.75,395.0,60.0,29.0
1995-10-20,,,,,,,,410.5,136.5,395.0,60.0,29.0
1995-10-23,,,,,,,,410.6667,136.6667,395.0,60.0,29.0
1995-10-24,,,,,,,,411.6667,136.3333,395.0,60.0,29.0
1995-10-25,,,,,,,,412.6667,136.6667,395.0,60.0,29.0
1995-10-26,,,,,,,,413.3333,137.3333,395.0,60.0,29.0
1995-10-27,,,,,,,,409.0,136.5,395.0,60.0,29.0
1995-10-30,,,,,,,,406.5,136.5,395.0,60.0,29.0
1995-10-31,,,,,,,,409.25,137.25,395.0,60.0,29.0
1995-11-01,,,,,,,,408.5,138.0,395.0,60.0,29.0
1995-11-02,,,,,,,,408.0,137.0,395.0,60.0,29.0
1995-11-03,,,,,,,,408.5,136.25,395.0,60.0,29.0
1995-11-06,,,,,,,,407.75,135.25,391.25,60.0,29.0
1995-11-07,,,,,,,,409.25,134.5,377.5,60.0,29.0
1995-11-08,,,,,,,,414.0,135.25,367.5,60.0,29.0
1995-11-09,,,,,,,,414.25,135.25,360.0,60.0,29.0
1995-11-10,,,,,,,,421.5,137.25,357.5,60.0,29.0
1995-11-13,,,,,,,,421.25,137.25,347.5,60.0,29.0
1995-11-14,,,,,,,,415.75,136.5,340.0,60.0,29.0
1995-11-15,,,,,,,,416.25,135.75,337.5,60.0,29.0
1995-11-16,,,,,,,,416.0,135.75,330.0,60.0,29.0
1995-11-17,,,,,,,,414.75,135.25,330.0,60.0,29.0
1995-11-20,,,,,,,,415.25,135.25,325.0,60.0,29.0
1995-11-21,,,,,,,,417.0,136.0,317.5,60.0,29.0
1995-11-22,,,,,,,,415.0,135.0,310.0,60.0,29.0
1995-11-23,,,,,,,,412.75,134.0,310.0,60.0,29.0
1995-11-24,,,,,,,,413.75,134.0,310.0,60.0,29.0
1995-11-27,,,,,,,,413.5,134.25,305.0,60.0,29.0
1995-11-28,,,,,,,,416.25,135.25,300.0,60.0,29.0
1995-11-29,,,,,,,,415.25,134.75,300.0,60.0,29.0
1995-11-30,,,,,,,,414.0,133.5,300.0,60.0,29.0
1995-12-01,,,,,,,,412.0,132.5,300.0,60.0,29.0
1995-12-04,,,,,,,,411.75,131.5,300.0,60.0,29.0
1995-12-05,,,,,,,,413.25,133.25,300.0,60.0,29.0
1995-12-06,,,,,,,,414.75,134.5,300.0,60.0,29.0
1995-12-07,,,,,,,,414.25,133.75,300.0,60.0,29.0
1995-12-08,,,,,,,,414.0,134.25,300.0,60.0,29.0
1995-12-11,,,,,,,,417.25,135.25,300.0,60.0,29.0
1995-12-12,,,,,,,,416.5,136.75,300.0,60.0,29.0
1995-12-13,,,,,,,,414.25,136.0,300.0,60.0,29.0
1995-12-14,,,,,,,,410.0,135.0,295.0,60.0,29.0
1995-12-15,,,,,,,,407.75,134.25,287.5,60.0,29.0
1995-12-18,,,,,,,,408.25,133.0,280.0,60.0,29.0
1995-12-19,,,,,,,,410.5,134.25,280.0,60.0,29.0
1995-12-20,,,,,,,,407.0,130.5,277.5,60.0,29.0
1995-12-21,,,,,,,,408.0,131.25,267.5,60.0,29.0
1995-12-22,,,,,,,,407.25,132.5,260.0,60.0,29.0
1995-12-26,,,,,,,,407.0,133.0,260.0,60.0,29.0
1995-12-27,,,,,,,,407.25,132.0,260.0,60.0,29.0
1995-12-28,,,,,,,,404.25,130.0,260.0,60.0,29.0
1995-12-29,,,,,,,,400.25,128.75,260.0,60.0,29.0
1996-01-02,,,,,,,,400.25,128.75,260.0,60.0,29.0
1996-01-03,,,,,,,,407.5,132.75,273.75,60.0,29.0
1996-01-04,,,,,,,,411.25,132.75,285.0,60.0,29.0
1996-01-05,,,,,,,,414.25,132.5,285.0,60.0,29.0
1996-01-08,,,,,,,,418.75,132.0,285.0,60.0,29.0
1996-01-09,,,,,,,,417.0,131.25,285.0,60.0,29.0
1996-01-10,,,,,,,,417.0,130.75,285.0,60.0,29.0
1996-01-11,,,,,,,,418.25,130.75,285.0,60.0,29.0
1996-01-12,,,,,,,,416.5,129.0,285.0,60.0,29.0
1996-01-15,,,,,,,,414.75,129.5,285.0,60.0,29.0
1996-01-16,,,,,,,,415.5,131.0,285.0,60.0,29.0
1996-01-17,,,,,,,,419.25,131.0,285.0,60.0,29.0
1996-01-18,,,,,,,,418.25,131.25,285.0,60.0,29.0
1996-01-19,,,,,,,,416.5,130.75,285.0,60.0,29.0
1996-01-22,,,,,,,,420.0,131.5,285.0,60.0,29.0
1996-01-23,,,,,,,,424.75,131.75,285.0,60.0,29.0
1996-01-24,,,,,,,,421.75,130.75,290.0,60.0,29.0
1996-01-25,,,,,,,,420.75,129.0,300.0,60.0,29.0
1996-01-26,,,,,,,,423.5,129.75,315.0,60.0,29.75
1996-01-29,,,,,,,,419.75,128.0,315.0,60.0,32.0
1996-01-30,,,,,,,,420.75,129.5,315.0,60.0,32.0
1996-01-31,,,,,,,,419.5,129.25,315.0,60.0,32.0
1996-02-01,,,,,,,,422.75,131.0,325.0,60.0,32.0
1996-02-02,,,,,,,,431.75,136.5,338.75,60.0,32.0
1996-02-05,,,,,,,,432.75,140.25,350.0,60.0,32.0
1996-02-06,,,,,,,,428.25,140.75,350.0,60.0,32.0
1996-02-07,,,,,,,,429.5,141.25,350.0,60.0,32.0
1996-02-08,,,,,,,,424.5,140.5,350.0,60.0,32.0
1996-02-09,,,,,,,,424.25,141.5,350.0,60.0,32.0
1996-02-12,,,,,,,,419.75,139.5,350.0,60.0,32.0
1996-02-13,,,,,,,,420.25,139.5,350.0,60.0,32.0
1996-02-14,,,,,,,,423.5,142.5,350.0,60.0,32.0
1996-02-15,,,,,,,,423.75,144.0,350.0,60.0,32.0
1996-02-16,,,,,,,,423.25,144.25,350.0,60.0,32.0
1996-02-19,,,,,,,,424.5,143.0,350.0,60.0,32.0
1996-02-20,,,,,,,,423.5,143.0,350.0,60.0,32.0
1996-02-21,,,,,,,,417.0,143.0,345.0,60.0,32.0
1996-02-22,,,,,,,,417.0,143.75,340.0,60.0,32.0
1996-02-23,,,,,,,,412.25,141.75,340.0,60.0,32.0
1996-02-26,,,,,,,,411.25,141.5,337.5,60.0,32.0
1996-02-27,,,,,,,,410.75,141.0,330.0,60.0,32.0
1996-02-28,,,,,,,,409.5,140.25,330.0,60.0,32.0
1996-02-29,,,,,,,,412.75,139.25,330.0,60.0,33.0
1996-03-01,,,,,,,,413.5,138.5,330.0,60.0,34.0
1996-03-04,,,,,,,,410.5,136.0,330.0,60.0,34.0
1996-03-05,,,,,,,,406.75,133.75,330.0,60.0,34.0
1996-03-06,,,,,,,,407.25,134.5,330.0,60.0,34.0
1996-03-07,,,,,,,,408.75,135.75,333.75,60.0,34.0
1996-03-08,,,,,,,,411.5,136.75,345.0,60.0,34.0
1996-03-11,,,,,,,,411.5,140.0,345.0,60.0,34.0
1996-03-12,,,,,,,,412.0,142.25,345.0,60.0,34.0
1996-03-13,,,,,,,,413.75,142.5,345.0,60.0,34.0
1996-03-14,,,,,,,,413.5,140.5,345.0,60.0,34.0
1996-03-15,,,,,,,,411.75,139.5,345.0,60.0,34.0
1996-03-18,,,,,,,,412.5,139.75,345.0,60.0,35.0
1996-03-19,,,,,,,,412.0,139.5,345.0,60.0,36.0
1996-03-20,,,,,,,,411.75,139.25,345.0,60.0,36.0
1996-03-21,,,,,,,,412.25,139.5,345.0,60.0,36.0
1996-03-22,,,,,,,,413.0,139.75,345.0,60.0,36.0
1996-03-25,,,,,,,,412.75,141.25,345.0,60.0,36.5
1996-03-26,,,,,,,,414.0,141.75,345.0,60.0,38.0
1996-03-27,,,,,,,,415.75,142.25,345.0,60.0,38.0
1996-03-28,,,,,,,,413.75,141.75,345.0,60.0,38.0
1996-03-29,,,,,,,,410.5,139.75,345.0,60.0,38.0
